ID,AverageMass,meanB,meanG,meanR
21,6.9924,198.893785686568,199.6781418038694,182.3057819169577
22,6.9847,54.97014760351595,54.61269279672729,44.81690530156448
23,6.983,45.10071942446043,45.59911455451024,35.62711676812396
24,6.9821,47.22462941847206,45.96442417331813,35.89515393386545
25,6.9839,59.88144063415475,58.114251249353785,44.982997300247
26,6.9841,52.739445600375866,51.87240754413048,39.673669373783476
27,6.9815,58.73904634878293,56.99833277759253,44.5675891963988
28,5.8793,55.64959516771623,54.1580131088549,41.38876751060275
29,5.8731,41.916863362182006,42.93987673747705,33.88781799108314
30,5.8879,54.621842089243316,52.371157241127406,40.82480063310403
32,5.8775,46.44563201130642,45.83932514795513,36.36207048847275
33,5.5909,52.367644521138914,51.50914581535807,40.445125107851595
34,5.5964,50.595367582791106,50.67582791104205,40.26575701660678
35,5.5926,51.6879812847256,51.8863436982162,41.25665269519446
36,5.5867,41.75986227250369,42.56645351696999,34.19252336448598
37,5.5852,49.89740609323382,50.14976140951915,40.15447204208981
38,5.5874,40.88026067360984,41.86338997502893,34.90236920640721
39,5.587,47.315622669649514,47.20140442455878,36.57283122048222
40,5.5944,43.480260220677344,44.052044135467824,34.985713374577465
41,5.5903,40.91613722998729,41.66341202434294,34.41275998127466
42,5.5967,48.89839142091153,49.04209115281502,39.28686327077748
43,5.4506,41.86752364459838,42.865059278007195,35.140202477687495
44,5.4509,44.67421469960354,45.20089966453187,36.6469197926197
45,5.4409,41.59634671852954,42.94756511459406,35.09270487739771
46,5.4456,51.159634623749454,51.6705089169204,40.79066985645933
47,5.4494,46.39656452125968,46.89704167108472,36.49740218428587
48,5.4475,49.610351646462036,48.54028028544407,37.60613876708795
49,5.4349,46.76381642939252,46.407551507648776,36.01193739499514
50,5.4505,52.575531303848365,51.90960654796094,40.64747271682941
51,5.4493,43.42249982051834,43.331610309426374,34.35142508435638
52,4.9155,46.408243826310475,45.948590838152946,35.76989809969706
53,4.9142,55.66863663226804,55.01154702914034,43.604173296358596
54,4.9142,55.151515151515156,53.75477510782502,41.88326891838907
55,4.9138,47.929819663893696,46.92557646139244,36.43219250739769
56,4.9138,51.63354422528223,51.06624488276889,39.861224827358065
57,4.9129,41.336969596416274,41.90306524534407,34.098096146667224
59,4.9128,53.54022598870056,54.088135593220336,43.50519774011299
