ID,AverageMass,AreaInSquaredPixels,Roundness
361,30.0794,38812.5,0.6343
362,30.0777,38912.5,0.6284
363,30.0763,38940.0,0.6472
364,30.0739,38540.5,0.4516
365,30.0734,38878.5,0.4398
366,30.0735,39104.0,0.4468
367,20.8255,30212.0,0.3642
368,20.8247,29435.0,0.4891
369,20.8234,34153.0,0.3341
370,20.8229,36311.5,0.4293
371,20.822,34389.0,0.3994
372,20.8221,33924.5,0.3964
373,20.8212,33107.5,0.3904
374,20.821,29909.5,0.4209
375,20.8201,30228.5,0.4445
376,20.8183,30271.0,0.4277
377,20.8184,30257.0,0.4028
378,20.8186,30576.0,0.4895
379,20.817,30047.0,0.4779
380,20.8169,29189.5,0.4356
381,20.8158,29256.5,0.4462
382,20.8163,29515.5,0.4567
383,20.8149,30279.0,0.4361
384,20.8152,29100.5,0.606
385,20.814,30795.5,0.4445
386,20.8124,30598.5,0.3388
387,20.8124,31414.5,0.4357
388,20.8123,30908.5,0.4338
389,20.8124,31867.5,0.6133
390,20.811,31425.0,0.5295
391,20.8106,33069.5,0.454
392,20.811,33534.0,0.3956
393,20.81,32984.0,0.495
394,20.805,32218.0,0.5638
395,20.7963,31665.0,0.5273
396,20.7945,31615.5,0.4359
397,20.7926,32586.5,0.5035
398,20.7901,32428.5,0.4927
399,20.7911,32814.0,0.5293
400,20.7913,32363.5,0.4844
401,20.79,30045.5,0.3606
402,20.7893,33744.5,0.4013
403,20.7884,33528.5,0.4525
404,20.7892,31783.0,0.4145
405,19.337,29020.5,0.5353
406,19.3342,28461.0,0.5863
407,19.335,28354.5,0.5256
408,19.3315,27052.0,0.5085
409,19.3301,27290.0,0.5039
410,19.3301,28980.5,0.4659
411,19.3298,29188.0,0.5602
412,19.329,29777.0,0.6304
413,19.3283,28674.0,0.5641
414,19.3273,28282.0,0.6169
415,19.3277,28691.5,0.4864
416,19.3264,28671.0,0.5155
417,19.3265,28252.0,0.4428
418,19.3257,28331.0,0.4886
419,19.3252,28477.0,0.5483
420,19.3245,28578.5,0.4727
421,19.3232,29000.0,0.5308
422,19.3227,29173.0,0.5045
423,19.3214,28644.0,0.4388
424,19.3204,28604.0,0.4637
425,19.3207,28021.5,0.4457
426,26.5175,35728.0,0.686
427,26.5179,35355.0,0.6614
428,26.5175,34790.0,0.6285
429,26.516,35070.0,0.6754
430,26.5139,35219.5,0.6735
431,26.516,35509.0,0.6714
432,26.5159,36058.5,0.6909
433,26.5134,35629.5,0.7532
434,26.5134,35629.0,0.7421
435,26.5851,35653.5,0.7386
436,26.512,36567.5,0.7344
437,26.5112,36376.0,0.6297
438,26.5107,36667.0,0.5932
439,26.5104,36497.5,0.5673
440,26.5084,36421.0,0.5312
441,26.5079,36280.5,0.5302
442,26.5064,36557.5,0.5589
443,26.5054,36735.5,0.5598
444,26.5046,37058.5,0.5074
445,26.5043,36759.5,0.4978
446,26.5034,36598.5,0.5132
447,26.5019,36432.0,0.5113
448,26.5028,33074.5,0.6509
449,26.5016,32587.5,0.5095
450,26.5008,33085.5,0.609
451,26.5006,32437.0,0.6555
452,26.4995,31987.0,0.4851
453,26.4983,32178.5,0.4337
454,26.4976,33683.5,0.592
455,26.4977,34140.5,0.4898
456,26.4959,36476.0,0.6999
457,26.4958,36424.0,0.5633
458,26.4942,33326.5,0.6392
459,26.4958,33585.0,0.5249
460,26.4943,36549.5,0.6577
461,26.4839,36782.5,0.6129
462,26.4823,36640.0,0.5103
463,26.4815,36586.5,0.5324
464,26.4817,36624.5,0.517
465,26.4815,37000.5,0.5293
466,41.2194,55563.5,0.7572
467,41.2196,56008.0,0.7887
468,41.2196,55023.0,0.6322
469,41.2189,55559.0,0.7473
470,41.2181,55229.5,0.7498
471,41.2169,55419.5,0.7328
472,41.2158,54438.0,0.7033
473,41.2154,55010.0,0.7639
474,41.2141,54732.5,0.7065
475,41.2125,54358.5,0.7832
476,41.2115,54937.5,0.6718
477,41.2107,54880.0,0.8439
478,41.2096,55426.5,0.809
479,41.2078,55450.0,0.8093
480,41.2063,55872.0,0.7994
481,41.2063,55213.0,0.6867
482,41.2058,55284.5,0.7125
483,41.2035,55111.0,0.695
484,41.2033,55165.5,0.738
485,41.2029,54824.5,0.6955
486,41.2012,54721.0,0.6855
487,41.1999,54624.5,0.6947
488,41.2008,54773.5,0.7008
489,41.1998,53269.5,0.6716
490,41.1986,53207.5,0.6859
491,41.1958,53703.0,0.6731
492,48.7211,66115.0,0.5403
493,48.7186,65009.5,0.4746
494,51.4455,65460.5,0.5785
495,48.7182,64874.5,0.5722
496,48.7165,66514.0,0.5816
497,48.7151,65008.5,0.5802
498,48.7155,64890.5,0.5122
499,48.7115,65136.5,0.5751
500,48.7116,65515.0,0.6153
501,48.7112,66515.0,0.4872
502,48.7102,66907.5,0.5313
503,48.7088,67187.0,0.5649
504,48.7076,67589.5,0.504
505,48.7059,65460.0,0.5327
506,48.7061,67190.0,0.5351
507,48.7035,66765.0,0.528
508,48.7018,66739.5,0.606
509,48.7011,67629.5,0.5501
510,48.6997,65871.5,0.6103
511,48.698,65568.0,0.5263
