ID,AverageMass,hu0,hu1,hu2,hu3,hu4,hu5,hu6
1,4.8566,2.670024747002966,7.07336037357742,9.858511590738193,9.858511590738193,21.667745388465477,14.867344672262153,21.564556500042638
2,4.8568,2.6459069400743274,6.934238907703851,9.92113747782813,9.92113747782813,-20.820325459311057,14.238437739841975,-20.610714212021914
3,4.8654,2.660805841579146,6.79044428657861,10.223233034111338,10.223233034111338,-21.221417530983064,-16.368773664099013,-20.903407441923754
4,4.8691,2.6733393459109,7.02874366754763,10.212019603637295,10.212019603637295,-21.046746680607765,13.98135750417875,20.893016656043116
5,4.8689,2.654287558994351,7.138387547685933,9.57549017192206,9.57549017192206,-21.65919638011863,-14.956343248810837,-22.678581673186
6,4.8591,2.625426614343656,6.85047032327841,8.739674052927198,8.739674052927198,19.25586537620649,13.300234691908951,-19.393045777804474
7,4.8404,2.6308912232915835,7.084942596190626,8.955768176047437,8.955768176047437,20.586718185628264,13.715103825987203,-19.677530841206636
8,4.8484,2.673620642689851,6.694944125221786,9.270675722744679,9.270675722744679,19.986002387937376,13.72994128164808,-20.420242608078627
9,4.8533,2.6861372447578975,7.259528722559803,9.036989450553136,9.036989450553136,20.738664177042253,14.09163161506077,-20.070610605104175
10,4.8607,2.623205003873472,6.475469444185111,9.078109628629486,9.078109628629486,19.246686833824924,13.023102444390297,-19.505021539690933
11,5.3319,2.66161709549518,7.67598299734289,10.983580680940092,10.983580680940092,21.226534045539744,15.395777243674283,21.60305537805002
12,5.3296,2.665585711366125,8.134567493300224,10.489370436216728,10.489370436216728,-21.595614397371765,14.887881311693349,20.582513950025234
13,5.3455,2.6492868836361705,7.476424600134266,13.001179341640672,13.001179341640672,24.11317187439735,-14.761578396894521,-22.785724266798148
14,5.3238,2.6577256201331783,8.04664846978176,11.438184778216925,11.438184778216925,22.482413647503357,15.87801708607743,22.517343156392783
15,5.3381,2.6537929874870407,6.619054286102403,9.024286322274358,9.024286322274358,20.425976983979957,13.924651865758383,21.567005898134394
16,5.3361,2.6515347627869836,6.60965334777833,8.960743297158412,8.960743297158412,-20.477472552472292,-14.531994866632644,21.72573833736583
17,5.3594,2.6147153921969406,6.381826698546462,8.942063621473103,8.942063621473103,-20.263015339869078,-14.065401755143284,19.98900572735092
18,5.3643,2.598987125957682,6.780287955622255,8.802252432335353,8.802252432335353,20.86409096932845,13.898244157056759,19.826852464881874
19,7.0003,2.6830028216575013,7.059521643732979,9.912415825704388,9.912415825704388,-20.88090831413757,-14.028428095516839,20.83087417746243
20,6.9895,2.6946683037137062,7.063266981414227,10.580768106480999,10.580768106480999,-21.624401057115417,14.293862240131586,-21.535445428635935
21,6.9924,2.6765707420643983,6.868783152530517,10.882215351878488,10.882215351878488,-21.637755489485603,14.743933144658682,22.046122898729422
