ID,AverageMass,hu0,hu1,hu2,hu3,hu4,hu5,hu6
1,4.8566,2.672801526069062,6.999977489222653,10.014052071948747,10.014052071948747,21.714844459418735,15.067453151280807,22.011630520313542
2,4.8568,2.6447297519478172,6.961469741207089,10.134568955644722,10.134568955644722,-20.84688303075228,14.417798695155776,-21.14338723089474
3,4.8654,2.660988388245546,6.888643293455421,10.219095180904022,10.219095180904022,-21.806043006777823,-14.812232867287435,-20.933094092269336
4,4.8691,2.6784271128763426,7.334344589325026,10.110876390852498,10.110876390852498,21.927059831021925,14.175830407332079,20.804899885204076
5,4.8689,2.658900714488596,7.166955933678513,9.886649295401423,9.886649295401423,-22.163944239012235,-14.819426324313444,-21.80711027240585
6,4.8591,2.6267455509558366,7.1704584427503555,8.719069966602413,8.719069966602413,19.39096057843207,13.56539889568555,-19.616666377914225
7,4.8404,2.6272270976104286,7.045372958146889,8.868379384999145,8.868379384999145,20.75428880353959,13.755314179179894,-19.709265889205764
8,4.8484,2.670315422488309,6.753409844903392,8.93762693998496,8.93762693998496,19.692609401002038,13.682450404541397,-20.00943892574036
9,4.8533,2.6826494710746345,7.703286339843587,8.903916470474726,8.903916470474726,23.096568722710987,14.471859007242621,-20.128852139919363
10,4.8607,2.6245483536252108,6.805538123306347,8.878146138056556,8.878146138056556,19.365155246026774,13.322821401690701,-19.536175037553598
11,5.3319,2.663022532127899,7.568117163559443,11.205350256246925,11.205350256246925,21.133655274041537,14.315866119762198,-25.002388152953593
12,5.3296,2.666234863621673,7.9883880308092134,11.233525021707495,11.233525021707495,-21.080463536393232,14.380915835585695,21.150472255463406
13,5.3455,2.6485973828937364,7.389349836156748,11.291223973246876,11.291223973246876,-22.74164755342741,-14.97480404189802,-22.03654913426875
14,5.3238,2.659090608487101,7.902139473773469,10.729983473287175,10.729983473287175,-21.891292260437737,15.104785327785624,22.400109980614502
15,5.3381,2.651785022925182,6.688764667238459,8.848277037151798,8.848277037151798,20.16945418273014,13.871063275730377,-21.275886332898235
16,5.3361,2.6521126915466335,6.747219491662231,8.848133347927172,8.848133347927172,-20.403200012216175,-14.35260957954005,-21.78958839490922
17,5.3594,2.621362509511988,6.5280991920676685,8.816181886825147,8.816181886825147,-20.051546465904963,-14.011627079897126,19.79948580850664
18,5.3643,2.601638311156301,6.8576401030284755,8.76696990837869,8.76696990837869,-21.90793664744045,13.917413583317742,19.83654801620845
19,7.0003,2.68265284263624,6.8801128893737635,10.106208463669669,10.106208463669669,22.011070012150984,-14.085357344622503,20.958250977602653
20,6.9895,2.693583022909595,7.054020331232758,10.409670345707294,10.409670345707294,-21.420467521955597,14.263285627655959,-21.507567222325694
21,6.9924,2.6783285979084956,6.897088819824282,10.392853690571492,10.392853690571492,-21.44365713244877,14.965073782406426,21.43034420580592
22,6.9847,2.6882143040492874,6.921158237059381,10.210928038417908,10.210928038417908,-21.600212936064064,-15.276074818445029,22.5642244607656
23,6.983,2.6834699184190964,7.026078408425375,10.060334112969961,10.060334112969961,20.60387807566907,13.980113184200304,-20.763379445596012
24,6.9821,2.6492626647637567,6.613981165175089,8.780204014171627,8.780204014171627,21.481923588065065,14.162497737260125,19.849987536998707
25,6.9839,2.63087086432077,6.289376091946173,8.873682539086683,8.873682539086683,20.144415443421614,13.525875757883265,19.805204288828893
26,6.9841,2.6200030938787107,6.493891715121882,8.635099413977573,8.635099413977573,19.917832981015398,13.520209830538999,19.759088116994246
27,6.9815,2.6299002810889336,6.161673054191424,9.125740505977504,9.125740505977504,20.203150577909685,13.481890592645804,20.44582881878351
28,5.8793,2.6005451438179423,7.927712879171858,10.032106408754233,10.032106408754233,20.357925117397993,14.156591258471053,20.623139064687468
29,5.8731,2.607002897374754,7.1014021951672115,9.976946201963017,9.976946201963017,20.938557667417392,-14.74678716971408,-20.649543509888524
30,5.8879,2.5991408460887895,7.750704741865766,10.14303130206164,10.14303130206164,20.445489398710592,14.210545991930903,-20.588714739338986
31,5.8797,2.606445885288084,6.759679903306612,10.37613785243438,10.37613785243438,21.497685745685615,-14.732063506503836,21.52799695294096
32,5.8775,2.5874553419969533,6.766030151834344,10.054787792973599,10.054787792973599,-20.785166139720985,13.847063731502923,-20.91470197045455
33,5.5909,2.658923189291739,7.402339085381462,10.442215583691752,10.442215583691752,-21.625098410133784,15.736049157377378,-21.182411018534744
34,5.5964,2.6591953403004203,7.699467845419447,10.642558155364705,10.642558155364705,21.51527195938746,14.75326922369912,21.45537490096919
35,5.5926,2.692143549234475,7.512444861165857,10.635684114629722,10.635684114629722,-21.74572931962733,-14.894285165920076,21.828958441725316
36,5.5867,2.6708929544101894,7.658634458605037,10.503642239284108,10.503642239284108,21.58985940626148,14.39152868923416,-21.117904529489437
37,5.5852,2.656941880571129,7.497754134131961,10.618215527494343,10.618215527494343,21.34468802945994,-14.487721642028392,21.904164464626817
38,5.5874,2.6470796090610675,6.333406584098938,9.1068329823528,9.1068329823528,20.766372226613953,13.767212592831331,19.848249006933287
39,5.587,2.6210599732190314,6.43602410052397,8.870185645464053,8.870185645464053,20.180549999595353,13.605062896410647,19.57485843320406
40,5.5944,2.629179994825917,6.454996350029101,8.773527231724128,8.773527231724128,19.733275970927764,13.42746212161792,19.897745829075483
41,5.5903,2.6727633228537058,6.443751796612722,9.132777574586454,9.132777574586454,20.21439149732491,13.558729666408778,20.17573041381464
42,5.5967,2.669723279301291,6.551048296028264,9.155312990695542,9.155312990695542,-20.498071742079542,13.689502073414939,19.84646563180897
43,5.4506,2.646179655902779,7.160786782929091,9.496981733870173,9.496981733870173,-20.311459702736222,-13.978511534869156,20.5158492371749
44,5.4509,2.6522440466149577,6.754036498978966,9.36288198985407,9.36288198985407,22.407115125926754,-14.768130483098409,21.773438726974796
45,5.4409,2.628059364874792,7.408788452882864,9.61424190959178,9.61424190959178,-22.230207327447292,-16.211790573811246,22.72530850932844
46,5.4456,2.5951761022919646,7.067542803427293,9.275250485314087,9.275250485314087,19.955718354097577,13.600607974152268,-19.7490312950085
47,5.4494,2.637590766748405,8.087159012612066,9.949304125317006,9.949304125317006,-20.385500828790185,-14.454750038445763,-20.741353678490604
48,5.4475,2.6014918357717294,6.788333855575355,8.68275261573809,8.68275261573809,-20.671057088138724,-14.480282646920584,-22.146358358027843
