ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
21,10.2444,17752.0,0.8926,3.077326704601495,8.905498306051935,11.648303332825575,11.648303332825575,-26.150375286298534,17.912159561871036,25.123848824087805,198.89403973509934,199.68835216205687,182.31632255551227
22,10.2427,18061.5,0.8737,2.4892224112411023,7.130904877671933,9.88010965077233,9.88010965077233,-22.646101482555697,14.062031462856087,20.19903051945309,55.207449135856486,54.89734193830672,45.05420039378692
23,10.2425,18034.0,0.8749,2.389265441218265,6.538917004671031,9.112418740766666,9.112418740766666,20.706862683374336,14.209216406418763,21.31435561206955,45.41565341220287,45.9766677620769,35.96691861101983
24,10.1629,17341.5,0.8651,2.4004509027763627,6.812032273534601,9.460268828929618,9.460268828929618,20.84700624857033,-14.046007312731279,20.613927654729913,47.206570631441096,45.94334680863178,35.86545578773558
25,10.1636,17083.5,0.8759,2.5090233392247243,6.935403930066059,10.381986604959458,10.381986604959458,-21.303497656302408,14.531753098649428,-22.028035236068696,59.67743613455092,57.89457866142643,44.7693908218703
26,9.7124,14628.5,0.8742,2.4329430942374852,6.4462181105709275,9.622336166715886,9.622336166715886,20.103537668255655,-13.38458428027501,-20.377180740162,52.469723533378286,51.60161834120027,39.42562373567094
27,9.7125,14849.0,0.8769,2.4880455803535875,6.865704023040512,9.81451849800341,9.81451849800341,-20.46035963775856,13.708517995776463,20.137963871026272,58.787840531561464,57.06943521594685,44.638471760797344
28,9.8781,15211.0,0.8803,2.4701237012328807,6.98698889063475,10.066325873249278,10.066325873249278,-20.653748376052334,13.890700358576295,21.109773082481798,55.31065127140633,53.75259470679813,40.959522573949144
29,9.8802,15155.0,0.8739,2.3541584404682707,6.543515995127468,8.955741784345783,8.955741784345783,-19.55295041971563,13.371447847052636,-19.310830914074845,42.144921875,43.18151041666667,34.08216145833333
30,9.9806,16331.5,0.8735,2.444379869334446,6.7008381257295255,9.831814596724431,9.831814596724431,-21.104165321486338,14.427154407116525,21.415186926479432,54.86315280464217,52.64555125725339,41.06933027079304
32,9.1594,11180.5,0.8616,2.3793257663576197,6.068594389288358,9.354541093245926,9.354541093245926,19.06061649833929,12.764015930500573,19.249437866373896,46.49427816901409,45.89991197183099,36.427816901408455
33,9.1617,11286.5,0.8785,2.4490484094012297,6.882044344683172,9.061240524966822,9.061240524966822,-20.045527179104308,-13.748146317294815,19.90627727306744,51.523506323593544,50.66061927605757,39.59188835586568
34,10.8762,20292.5,0.8622,2.461400682560441,6.627994984118852,9.271527306754633,9.271527306754633,20.01940372491866,13.705418352012005,20.33412216471719,50.518265952264976,50.57788602045787,40.177350219191425
35,10.8735,20249.0,0.8882,2.472226565385735,6.48221019172174,9.242234112397561,9.242234112397561,19.6225999950978,13.269580766924589,19.858549791359348,51.87105751391465,52.11185431110243,41.478810663021186
