ID,AverageMass,hu0,hu1,hu2,hu3,hu4,hu5,hu6
1,45.9258,2.5091932642119676,5.578241296502551,9.66270386704982,9.66270386704982,19.221903688489473,12.345367705063026,19.33059823487977
2,45.9232,2.4927840284991967,5.732087823132041,9.728229630902218,9.728229630902218,19.9858274118303,-13.736656168269894,-20.576714817354055
3,45.9206,2.5100015252722176,5.864896099316273,9.287381214158088,9.287381214158088,-20.42342346569416,-13.107649944092596,-19.772815675953087
4,45.9226,2.4550673047737224,5.481527650099523,8.862902481549037,8.862902481549037,18.011857552082002,11.715370545640068,18.0810161097653
5,45.9219,2.496296181026,5.604313805843896,9.500413752313577,9.500413752313577,20.347670997032104,-13.206493333507176,20.672626890946653
6,45.9202,2.4896054206911495,5.60408534697637,9.364700753791519,9.364700753791519,21.081794379122947,-13.079158821915083,20.091253834714436
7,45.9198,2.4932594980788583,5.586101975394622,9.972741358185502,9.972741358185502,-21.116728327564996,-14.568135116867607,-20.041226988271227
8,45.9147,2.512187426506563,5.846360878771144,9.371860495383016,9.371860495383016,-19.43979740049452,-13.008242793890384,-19.134750571844048
9,45.9139,2.5111831385828305,5.660468854069959,9.025299455687568,9.025299455687568,18.17932929222184,11.905981642199526,-18.450259596259666
10,45.914,2.5121428021649814,5.686080647897083,9.007160617960084,9.007160617960084,18.2383266585995,12.029662865945728,-18.77752364683526
11,45.9132,2.494793585307017,5.495215818892767,8.809298880467882,8.809298880467882,-19.62715400659332,-13.242698180249869,-19.334853254582796
12,45.9132,2.480204696447395,5.4390159192318945,8.694346186280743,8.694346186280743,18.235591472641758,12.074259775151532,-18.42812545048981
13,45.9117,2.513469655392532,5.613757833851883,8.66166044860246,8.66166044860246,17.596346149203068,11.681824127755258,-18.716997708799674
14,45.9112,2.4962392180175863,5.569087347332602,8.492797739398481,8.492797739398481,17.469803871071658,11.636047476948903,-18.21856218562014
15,45.9095,2.4568925499055196,5.340021943676029,8.958225201665277,8.958225201665277,17.9300111929341,11.604526888528774,18.188464857874994
16,45.9086,2.50167197907805,5.518454187590555,9.475488167119492,9.475488167119492,-20.86926933164473,-13.539371990162563,-20.834754670614547
17,45.8982,2.4893064787360846,5.46285198778547,9.146182158098467,9.146182158098467,19.628963093523215,12.700635615815036,-19.42858737748218
18,45.8975,2.4254958245291327,5.744580276789607,8.729317616661046,8.729317616661046,-18.669185619664145,-12.411051720597772,-21.038598362639004
19,45.8956,2.480680298506955,5.636776055942618,9.098642221686672,9.098642221686672,19.346615604009234,12.815420928798451,-19.30655633550345
20,45.8949,2.481835071499026,5.626328836440171,9.042004488166912,9.042004488166912,20.34766951123805,13.237062660831777,-19.57209645254301
21,19.9164,2.481311403827951,5.77481936026082,8.722473496235057,8.722473496235057,18.885480746479384,12.4997729998378,18.968814168573534
22,19.9171,2.4858701060725554,5.764191988464926,8.763305797632288,8.763305797632288,18.84617758506537,12.456503507704747,18.93681436208959
23,19.9151,2.4857298330430364,6.235390378420354,9.149591527670744,9.149591527670744,21.82835877243011,14.336492973608069,-21.39874398146361
24,19.9152,2.5034992068850914,5.877743200914735,8.399694871265469,8.399694871265469,-19.104380489867996,-13.498333722778332,-18.348749625529692
25,19.9132,2.4748129139955597,6.0154569223508245,8.245876197629455,8.245876197629455,17.33464728126593,11.910406671746852,-17.73877064996824
26,19.9145,2.4579137074746638,5.626862373364146,9.164243425346374,9.164243425346374,-19.216343005273405,-12.533789928335471,18.89807202580536
27,19.9125,2.497086526193497,5.739947403948767,8.94593302943301,8.94593302943301,18.911139885868398,-12.654332349894643,-18.479725556470243
28,19.9135,2.536422436413698,6.033806031473556,9.193390759689546,9.193390759689546,18.202815059150282,12.204073296123552,-18.905772246354214
29,19.9122,2.4892381537881,5.881379625116243,9.69691681587887,9.69691681587887,19.552654040018204,12.507061852026954,19.227868596613657
30,19.9123,2.4965738472011765,6.348701296426174,9.576730753575967,9.576730753575967,-19.957876670051277,13.474095878652442,20.164437144077578
31,19.9108,2.4636997053325196,6.175792299709881,9.189507081443233,9.189507081443233,-19.449250340732238,12.443870922587717,18.632230694388618
32,21.8082,2.421948787752751,5.299452251779564,8.976786779612944,8.976786779612944,18.049320242579686,11.650984289962281,18.278946015656505
33,21.8091,2.4219736878125935,5.307113314792369,9.422222259037072,9.422222259037072,19.798948437228745,12.451819558030204,19.36508875816617
34,21.81,2.401929838173046,5.321319739647087,9.304164998243598,9.304164998243598,-21.046659447343565,12.89694608791899,-19.978266202690005
35,21.809,2.397172025553736,5.364175036619175,8.57357901785627,8.57357901785627,-18.888066768016397,-12.483598696756388,-19.487460186005965
36,21.8071,2.386265574396465,5.3009003956621905,8.619782269576627,8.619782269576627,-18.969744089516293,-12.389437767526646,19.242693306255727
37,21.8065,2.412503442404619,5.434033875549669,8.677721513982856,8.677721513982856,18.07172709494445,12.075803976400676,-18.156288050849966
38,21.8047,2.3931183847291586,5.280120123320595,8.368354382539183,8.368354382539183,16.87326604741519,11.102424145060374,17.923679116796894
39,21.8051,2.3815378314385187,5.2191445732361625,8.407804948445879,8.407804948445879,17.03894730692646,11.143876265541643,17.410030619838267
40,21.8039,2.4197328137070264,5.472841740909988,9.043476608807511,9.043476608807511,19.362083143115232,12.378277848827715,18.750497182510628
41,21.8043,2.4239873600102118,5.512818440065172,9.538770999268737,9.538770999268737,20.216558839101815,13.404494910307669,-20.439292358589885
42,21.8038,2.442559176522218,5.457407348117955,8.783645972486498,8.783645972486498,17.85975629221991,11.726350896939678,18.423403438341055
43,21.803,2.4408012553837,5.411041666363852,8.795200847155517,8.795200847155517,17.4979091874866,11.454726370472269,-17.97859000553563
44,21.8034,2.407381857928496,5.405400627289374,8.601363556028442,8.601363556028442,18.796591484581928,12.743349704165476,-18.3632923929068
45,21.8032,2.4310832634708617,5.51195006816472,11.019599819129933,11.019599819129933,-20.501511724497618,12.783555537941115,-20.26384157346446
46,27.9885,2.4634373353336936,6.233015777911798,9.392794818581077,9.392794818581077,18.685131086049818,12.477709906158866,19.301734959923795
47,27.9886,2.47458997572244,6.0377255379144135,9.151706111709524,9.151706111709524,19.0450759375804,12.947565378885095,18.794188872798237
48,27.9887,2.451340062655164,5.948312147834087,8.817262484186928,8.817262484186928,18.073912304681897,11.997766684873511,-18.089511772827702
49,27.9875,2.450544105453683,5.895707152471527,9.849603116844753,9.849603116844753,-19.964417241038223,14.615448584650848,-19.6353509496505
50,27.9879,2.5159778473248537,6.415078823318223,8.934867673637285,8.934867673637285,18.24855624903682,12.546804109385729,-18.789965840883
51,27.9877,2.5078162498580308,6.584174705578336,8.918939782235606,8.918939782235606,18.31232008834908,12.61415913648514,-18.556390987392987
