ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
1,45.9258,57872.5,0.4134,2.5071015192035877,5.6540109423516585,9.286607249051041,9.286607249051041,19.866418936583255,13.606394313709675,19.312481281389726,17.410596706059415,38.26758564074499,122.44533187392042
2,45.9232,57571.0,0.3869,2.4632872282210045,5.527105316195481,9.441343220047873,9.441343220047873,18.691002135465077,12.238726646299883,19.43334471410093,15.812079037800686,34.769999999999996,117.07896907216494
3,45.9206,58238.0,0.3942,2.4773497811397562,5.566078793820276,9.492894180260517,9.492894180260517,19.081489474463506,12.632162218890638,19.937082324602066,16.67812537171405,36.082346344033034,119.85802647453653
4,45.9226,57913.5,0.3717,2.4688990797842347,5.52775804317529,9.6298272040312,9.6298272040312,18.157675487814537,11.657152627829822,18.720131857356343,15.549159319253638,35.04982571252819,119.82865149340441
5,45.9219,55933.5,0.4738,2.500460833191319,5.637301281290537,9.445822766304302,9.445822766304302,20.415947020986273,-13.466743542521323,-20.282668813429673,16.806560104791743,36.59975572194785,123.61000477935319
6,45.9202,58399.0,0.4664,2.4849782813353727,5.5579630127336,10.128812339837216,10.128812339837216,-20.242954827211218,13.504458656071016,-20.07077026509847,17.31927486094153,37.42204246370913,120.58782729616063
7,45.9198,57426.0,0.4276,2.4925369776264716,5.6105504882990775,10.470043751608221,10.470043751608221,-20.252393093114254,12.941144657596507,-19.822684491021224,16.19490459035044,36.77437815662007,122.18978504817886
8,45.9147,58105.0,0.3819,2.478761255507763,5.57889510019659,9.726912221905991,9.726912221905991,-19.86171798877005,-13.107829153327046,-20.372037741361687,15.721898729866856,35.3688493887697,117.50779786835562
9,45.9139,58341.0,0.3851,2.505141706117572,5.694275091359604,9.22160766176925,9.22160766176925,18.709467651299104,12.246654338125099,-19.117057824688654,16.983158358915215,37.46817387764794,121.24389002900223
10,45.914,57737.0,0.37,2.4934027203095384,5.6630388047537386,9.397948001360556,9.397948001360556,18.976220193474166,12.380934401882435,19.69335422789372,16.592793749785837,36.13788849672755,118.65497035945586
11,45.9132,50145.0,0.3725,2.475109008770725,5.465011445551698,8.91343383867759,8.91343383867759,18.56097393184133,12.229210696689814,-18.98753611541539,18.31764589905363,44.073836750788644,116.24410488958992
12,45.9132,49999.0,0.4087,2.475431278601557,5.462679344996435,8.643813156006965,8.643813156006965,17.682687340139207,11.68587571218817,-18.44023730186508,18.231888930640984,44.07024899630164,117.6076379961632
13,45.9117,49547.0,0.3455,2.493035559385232,5.5272457381701185,8.570609182162974,8.570609182162974,17.21571408208724,11.397788000662192,18.416226477207054,17.604020421186984,42.78615587109126,120.15130424377793
14,45.9112,50180.5,0.4486,2.4729036565999953,5.454003854262286,8.479480362282803,8.479480362282803,17.16560176258802,11.362712598438545,19.007590718773002,17.760398382802485,42.65750912138842,117.84326989448772
15,45.9095,48989.5,0.3845,2.4839404092660735,5.510359705937415,8.867581795694559,8.867581795694559,17.75629723091724,11.607966945748647,18.02562539884882,17.17552708564511,41.333158478765256,115.5246645818622
16,45.9086,49883.5,0.517,2.5056441337593975,5.5529339152623685,9.67418016768145,9.67418016768145,-23.818550569776882,-14.380950124487523,21.309614202698537,18.63093560869134,44.2546879650759,115.11306677249726
17,45.8982,50595.5,0.4084,2.4867383860536183,5.540377557908182,9.500442837370468,9.500442837370468,21.429685764649957,14.911950868789571,-22.37236697292458,19.223331900089903,44.989661103076266,110.53971387249345
18,45.8975,48436.0,0.5424,2.364711467502035,5.2481708582842135,8.40292507321849,8.40292507321849,17.42374487195465,11.509082475074596,17.739054638090828,14.86132968178381,29.030861043552903,103.20468433853134
19,45.8956,60141.0,0.4676,2.4713598642597625,5.607593229945901,9.228360398243533,9.228360398243533,-20.929316562990067,13.814424547056099,-20.029565781384324,17.242312949818015,37.55177127423047,112.32767338065514
20,45.8949,60821.5,0.4229,2.4656785865348523,5.535640131998214,9.843848635327006,9.843848635327006,20.28866152345734,13.836998879423504,-21.525087152027208,18.35976493187257,39.416513373162516,112.85160103534162
21,19.9164,29571.5,0.5108,2.479180150276539,5.798710368504589,8.59391197789305,8.59391197789305,18.672985942237354,12.417659208436428,18.754679319362108,17.71721420940171,37.78973023504274,113.8182091346154
22,19.9171,28961.0,0.5406,2.4829221869984566,5.71347471936871,8.666026255579144,8.666026255579144,18.55432524400151,12.298329499231016,18.79560208499456,17.237041331332694,37.71337471013504,115.75426271995634
23,19.9151,27565.5,0.4033,2.4650969678039725,6.094640270620501,8.580835856014719,8.580835856014719,19.07884760863441,13.027025951814997,19.790354206525695,15.686530349610353,34.855401444198186,106.70136555372846
24,19.9152,27016.5,0.5098,2.516829832829208,6.16968800649863,8.494411866226834,8.494411866226834,-18.96890647082615,-13.046156048146557,-18.368219091556174,18.36553210138047,40.11726681761741,112.27722591483456
25,19.9132,27600.5,0.5663,2.487151826560541,6.160091970818739,8.50355449752292,8.50355449752292,17.657332066345962,12.254276012054394,-18.29292572574864,15.708694096601073,35.77549194991055,112.03298747763864
