ID,AverageMass,AreaInSquaredPixels,Roundness
189,5.6236,27712.0,0.9122
190,5.6244,27785.0,0.9084
191,5.6233,27784.5,0.908
192,5.6232,27777.5,0.9106
193,5.6203,27686.0,0.914
194,5.6215,27911.0,0.9189
195,5.6211,27773.5,0.9264
196,5.6186,27615.0,0.9155
197,5.6191,26975.0,0.8922
198,5.6198,26897.0,0.8831
199,5.3548,19464.0,0.9514
200,5.353,19355.0,0.957
201,5.3539,19664.5,0.9461
202,5.3545,19793.0,0.9461
203,5.3547,19569.0,0.9468
204,5.3531,19597.0,0.9531
205,5.3551,19736.0,0.9418
206,5.3537,27665.0,0.8595
207,5.355,25719.5,0.8554
208,5.3547,25904.5,0.8554
209,5.3528,26008.0,0.849
210,5.3535,25444.0,0.8472
211,5.3535,25011.0,0.8389
212,5.3536,24921.0,0.841
213,5.3527,25556.0,0.8426
214,5.3494,26018.5,0.8517
215,5.3489,25621.0,0.8591
216,5.3487,25318.0,0.8538
217,5.3475,25871.5,0.8485
218,4.8107,23503.0,0.8471
219,4.8118,19437.0,0.9332
220,4.8113,19489.5,0.9366
221,4.8112,19599.5,0.9238
222,4.8108,19525.5,0.925
223,4.8101,19707.5,0.9513
224,4.8088,23176.5,0.8644
225,4.8103,22917.5,0.8757
226,4.8098,23201.0,0.8732
227,4.8105,23837.5,0.8926
228,4.8095,23533.0,0.8466
229,4.8092,23588.0,0.8468
230,4.8066,22922.5,0.8382
231,4.8093,23042.5,0.8482
232,4.8088,23642.5,0.8424
233,4.806,23234.0,0.8355
234,4.808,23186.5,0.851
235,4.6951,24254.0,0.8704
236,4.6947,24138.0,0.8787
237,4.6949,24355.0,0.8763
238,4.6935,24216.5,0.8652
239,4.6948,24436.0,0.8686
240,4.6925,24064.5,0.8764
241,4.6944,24465.0,0.8792
242,4.6945,23936.0,0.8243
243,4.6939,24201.5,0.8591
244,4.6923,24027.5,0.8286
245,5.8265,29434.5,0.8294
246,5.825,29389.0,0.8584
247,5.8247,29212.5,0.855
248,5.8267,29085.5,0.8495
249,5.8279,29273.5,0.8707
250,5.8272,28773.0,0.8666
251,5.8271,28375.0,0.8822
252,5.8266,21495.5,0.9753
253,5.8266,21615.5,0.9795
254,5.8253,21817.5,0.9752
255,5.5003,28262.5,0.8448
256,5.5004,28396.0,0.8415
257,5.4969,28484.0,0.8479
258,5.4978,27992.0,0.8528
259,5.497,20749.0,0.9439
260,5.4966,20112.0,0.9355
261,5.4954,20113.5,0.931
262,4.8996,18723.5,0.972
263,4.8976,18571.0,0.9697
264,4.9005,18518.0,0.9659
265,4.9,18765.5,0.9655
266,4.9013,18720.5,0.9748
267,4.8997,24656.0,0.9025
268,4.8998,24965.0,0.9033
269,4.8982,24938.0,0.9089
270,4.8991,24668.0,0.9091
271,4.899,24399.5,0.9047
272,4.8985,24005.0,0.8668
273,4.9007,23906.5,0.882
274,5.1209,19575.5,0.9503
275,5.1205,19487.0,0.9566
276,5.1196,19549.5,0.9549
277,5.1183,19552.0,0.9581
278,5.1191,19661.5,0.9537
279,5.1174,19738.0,0.9525
280,5.1177,19474.0,0.958
281,5.1165,26423.0,0.8767
282,5.1164,26775.0,0.8895
283,5.1151,26738.5,0.8438
284,5.1148,26500.0,0.8687
285,5.1139,26342.0,0.8791
286,5.1129,25827.0,0.894
287,5.1132,25619.0,0.8917
288,5.1127,25697.5,0.87
289,5.1136,25609.0,0.8754
290,5.246,19086.5,0.9672
291,5.244,19188.5,0.9669
292,5.2433,19093.0,0.9704
293,5.2432,19296.5,0.9706
294,5.2417,19229.5,0.97
295,5.2426,19263.0,0.9632
296,5.2428,25245.0,0.894
297,5.2432,25659.5,0.8861
298,5.2403,24998.0,0.9124
299,5.241,24645.5,0.8884
300,5.2409,24589.5,0.8922
301,5.2401,25853.5,0.8597
302,5.2374,25682.0,0.8783
303,5.2401,25907.0,0.894
304,5.2381,25457.5,0.897
305,5.2374,25271.0,0.8811
306,5.2374,24994.0,0.8808
307,4.4745,22597.0,0.887
308,4.4748,22666.5,0.8872
