ID,AverageMass,AreaInSquaredPixels,Roundness
190,5.6244,27188.5,0.9333
191,5.6233,26613.0,0.9225
192,5.6232,26951.0,0.9085
193,5.6203,26335.5,0.9131
194,5.6215,27443.0,0.9361
195,5.6211,27015.0,0.9336
196,5.6186,26566.0,0.9238
197,5.6191,26250.5,0.9069
198,5.6198,26397.5,0.9137
199,5.3548,18865.5,0.9516
200,5.353,18293.5,0.9381
201,5.3539,18452.5,0.9391
202,5.3545,18810.5,0.9465
203,5.3547,18526.5,0.9352
204,5.3531,19000.5,0.9512
205,5.3551,18870.0,0.9429
206,5.3537,26586.0,0.8647
207,5.355,24608.0,0.893
208,5.3547,25641.0,0.8717
209,5.3528,25212.5,0.8731
210,5.3535,23971.0,0.8306
211,5.3535,24243.0,0.8571
212,5.3536,24020.0,0.8562
213,5.3527,24438.0,0.8505
214,5.3494,24857.5,0.8781
215,5.3489,25075.5,0.8643
216,5.3487,24450.0,0.8533
217,5.3475,24103.0,0.8508
218,4.8107,22439.5,0.8901
219,4.8118,18607.0,0.95
220,4.8113,18778.5,0.9649
221,4.8112,18500.0,0.9418
222,4.8108,18956.5,0.957
223,4.8101,18378.0,0.9359
224,4.8088,21968.0,0.8797
225,4.8103,22064.5,0.8998
226,4.8098,22435.5,0.8924
227,4.8105,22679.0,0.9011
228,4.8095,23069.0,0.8642
229,4.8092,22993.0,0.8583
230,4.8066,21948.5,0.8514
231,4.8093,22437.5,0.8848
232,4.8088,22990.0,0.8565
233,4.806,22514.0,0.8495
234,4.808,22349.5,0.8717
235,4.6951,23272.5,0.8838
236,4.6947,23235.5,0.9033
237,4.6949,23837.0,0.8951
238,4.6935,23289.5,0.8848
239,4.6948,23603.0,0.892
240,4.6925,24096.0,0.8967
241,4.6944,23241.5,0.8818
242,4.6945,22529.5,0.8515
243,4.6939,23617.5,0.8949
244,4.6923,23200.5,0.8735
245,5.8265,27856.0,0.8618
246,5.825,28321.0,0.8783
247,5.8247,28310.0,0.8721
248,5.8267,28121.5,0.8563
249,5.8279,27990.5,0.8756
250,5.8272,27390.0,0.8635
251,5.8271,27032.5,0.8796
252,5.8266,20532.5,0.9575
253,5.8266,20475.0,0.9533
254,5.8253,21026.0,0.9592
255,5.5003,26441.5,0.8647
256,5.5004,27493.0,0.8679
257,5.4969,27690.5,0.8705
258,5.4978,25197.5,0.8341
259,5.497,19441.0,0.9315
260,5.4966,19190.0,0.9182
261,5.4954,19130.5,0.9188
262,4.8996,17198.0,0.9236
263,4.8976,17766.5,0.9593
264,4.9005,17695.5,0.9515
