ID,AverageMass,meanB,meanG,meanR
1,4.8566,31.29503221340717,45.71449869549012,158.17475107821735
2,4.8568,28.586926870212988,41.60040919106075,152.47523869478545
3,4.8654,30.64735012116742,44.54477926456643,156.6677905384048
4,4.8691,31.90877824223504,46.151013281125984,159.1468860786285
5,4.8689,29.163855549093217,43.57727489028711,154.94723206260244
6,4.8591,32.08546151834743,42.168874749411664,150.97167262267934
7,4.8404,30.80918833525469,41.72802186072329,151.9757055633833
8,4.8484,33.00609894861408,48.21696782121888,163.87679213508716
9,4.8533,31.41298087255534,46.969396088545025,168.8460777992693
10,4.8607,31.620892125625854,42.5513882567137,151.77724169321803
11,5.3319,35.511177490846016,48.042493736750814,143.6899691655425
12,5.3296,36.357834867691714,49.59010941340917,145.61204029498242
13,5.3455,34.90735165582208,46.736233854520734,141.2289016218316
14,5.3238,35.150528603892894,47.202697361920755,143.22364390870467
15,5.3381,33.30732464561461,45.91801135667307,157.88917030924466
16,5.3361,33.19284894837476,44.97131931166348,158.18099426386235
17,5.3594,34.47300550206327,42.992649587345255,145.58326169188445
18,5.3643,30.736575141479772,39.48019283169147,142.45172919723328
19,7.0003,33.01498578933769,47.53091895616226,157.91383171130823
20,6.9895,34.254051778572936,49.47063776047148,160.9733950747211
21,6.9924,32.03862513426423,46.54655209452201,157.53379162191192
22,6.9847,34.05243128964059,49.477505285412256,160.65403805496828
23,6.983,33.03830386881886,47.9322316167051,158.4827056110684
24,6.9821,32.24240938654117,44.341307971369744,163.8109618590058
25,6.9839,31.723620913655676,43.83479054742091,158.9949436426841
26,6.9841,31.525060579007782,42.55936742762403,157.29444586149728
27,6.9815,32.69313091941054,44.52090812732931,158.65644339590386
28,5.8793,28.065660704816082,36.957913512992334,138.51617413103216
29,5.8731,30.0684575389948,39.453495089543615,140.53682842287694
30,5.8879,28.331832797427655,37.08305006890216,138.1282498851631
31,5.8797,30.738223677873037,39.092380310182065,140.54185531259031
32,5.8775,28.31154956689124,36.954667949951876,136.15514918190567
33,5.5909,33.160102827763495,44.964987146529566,149.12719794344474
34,5.5964,34.43978020890055,47.45284886886788,150.49126280877184
35,5.5926,36.74947905813711,49.87330693894562,158.26802458845594
36,5.5867,33.948965873836606,46.271664943123056,150.88376421923473
37,5.5852,33.39779143556688,45.39594263728576,147.54284714935292
38,5.5874,33.15635471051196,45.58583339827008,160.69145951842904
39,5.587,31.907034589972792,41.215429459774576,152.81344733773804
40,5.5944,32.906608626830234,43.75785516422635,157.22718638702017
41,5.5903,32.77788476969989,47.197400096292725,165.93961643395923
42,5.5967,32.882802843016066,45.782486093943135,164.6449320148331
43,5.4506,33.24096654607173,43.46420117021752,150.70065657242395
44,5.4509,33.73801077993274,44.109688119039944,152.79951167826047
45,5.4409,33.32690017860687,42.039343123635646,144.1736951776146
46,5.4456,29.126414662084763,37.63825887743413,136.06405498281788
47,5.4494,32.31701220408763,42.309219232465814,145.69930892515805
48,5.4475,30.258785550833604,39.15532036613272,148.5526724419745
49,5.4349,33.32224407078936,43.49267627111842,153.1610819053734
50,5.4505,29.87046243686869,38.03633996212122,135.5037878787879
51,5.4493,30.056820813711113,37.351887593607664,139.562070562804
52,4.9155,33.687726787620065,49.80421558164355,172.1553895410886
53,4.9142,36.00682030691381,52.476431439414775,175.68835597601893
54,4.9142,36.0250232234092,52.38103808639109,179.56415466790526
55,4.9138,33.024950606830366,48.50589895568727,171.62957945244142
56,4.9138,32.64242865712571,45.57575627731596,171.67422229839747
57,4.9129,35.5296149633499,49.26556575954166,177.95922150139018
58,4.9141,33.59317347159214,47.963663858284725,176.45694534456686
59,4.9128,33.66341757957388,47.06184766669542,174.73505563702233
60,4.9944,37.467086311746506,51.91587538674917,157.115224581244
61,4.9945,34.00204620106618,47.022885143503316,148.61606806310917
62,4.9941,33.24171300256629,45.82992942686056,147.39569076133446
63,4.9948,34.6804932735426,47.85602178090967,152.78710228486014
64,4.995,30.71791608146067,39.24863939606742,143.28269838483146
65,4.9944,31.519187451365855,45.90310029897203,167.8693942744809
66,4.9932,28.705212858384012,43.971416159860986,165.53188531711555
67,4.9941,30.346132395212152,41.159981123171306,148.460723325754
68,5.44,30.880724341864237,45.24954205265086,158.6316009839326
69,5.4393,31.117965089336288,46.316204108954224,161.06348797693218
70,5.4393,29.73172723560637,44.140975908534095,156.2672519395672
71,5.4394,30.435814071628144,45.352857505715015,159.4732029464059
72,5.4397,32.107816711590296,47.251762388554845,164.45640680074644
73,5.4401,27.87075082661515,38.570197273098785,156.7472229446075
74,5.4396,29.53577044025157,40.079205974842765,152.79709119496854
75,5.4391,29.21924014009441,41.787155474341404,167.69597989949747
76,5.4397,30.01313711137651,43.470470393342836,168.88427013907616
77,3.9197,36.286758164951074,50.46600584572373,169.60039395094677
78,3.919,37.19886399495108,51.59570842537077,172.9389712843168
79,3.9184,34.456840235935815,48.473140102746235,169.40058349717765
80,3.9171,32.45684608120869,45.3586402266289,162.77796663519044
81,3.9169,34.00032345710959,47.324815629447535,167.68624660370034
82,3.9181,35.15517130552163,49.351738767114476,169.60185125666902
83,3.918,34.97011836233103,48.69018821550999,170.07929629390077
84,3.9173,34.97201480830771,49.0897910522683,169.09713245905755
85,3.9176,31.737167627002165,43.78987154411376,168.81418829624147
86,3.9172,33.94414118395252,46.39583443743707,171.8818697334252
87,3.9168,32.54441876713065,44.84161874563336,171.40328908475306
88,3.9163,31.445013462858352,43.23483448603559,166.14978089857982
89,3.9152,31.240613149602094,43.23383004860332,167.9049831757731
90,3.9162,28.567481062626694,39.759415341939615,161.5072548810413
91,3.9164,29.965299181634606,41.49325114252312,164.42555000531408
92,3.915,34.39819763177198,45.83631981557162,169.88080268259458
93,3.9142,36.51871967939253,49.155505167686144,171.46045138156506
94,3.9149,36.55884986044552,48.89767760282269,169.0388119437569
95,3.9147,36.30088813594127,48.254889881410755,174.36742132553007
96,5.0155,34.85533284868626,48.00150586769135,169.83051199501506
97,5.0157,33.271845646103074,45.926580350342725,164.0924092409241
98,5.015,32.33318142690769,44.56271203605246,164.45080763582968
99,5.0159,32.181217354226625,44.360409338023665,163.71884660483957
100,5.0149,33.082557384148984,46.37321351234301,166.2848635773062
101,5.0151,34.61533406352684,47.832858707557506,170.86281489594742
102,5.0153,35.24812578092462,49.17149104539775,170.6076114119117
103,5.0142,34.85379459639483,46.875109279380546,171.28262770076185
104,5.0151,35.26099290780142,47.348018356278686,172.75227367542763
105,5.0151,35.26024478883829,47.092861021763646,172.4044028572622
106,5.0143,34.16658971668416,45.92348373557188,169.56721930745016
107,5.0146,33.96233048719236,45.68282270215972,169.55244433283107
108,5.0129,33.62814853284861,45.53367090798927,169.1925906690903
109,5.0138,35.117034207327656,47.451727730508765,173.22599409619724
110,5.0136,33.422813329906624,45.129444016105545,167.86584425597533
111,5.0136,33.53505857667424,44.79161566707466,166.58825843678963
112,5.0123,35.54340024450842,47.62763733880191,172.56662854438616
113,5.0111,36.42687301011566,48.92177487607302,174.30971668077217
114,5.0121,37.278236914600555,49.78512396694215,176.84893713251924
115,5.0094,35.466198347107444,47.48880165289257,172.55553719008265
116,5.0101,37.3113829964924,49.90166193419075,176.71776348755637
117,5.0102,31.942808502806663,42.607665409036535,164.44837581669273
118,5.0104,34.60186968383887,46.77756379393355,170.25389183116673
119,5.0039,35.631448476300385,48.14142838825491,174.97033807753132
120,5.0023,37.92025321833709,50.68785316735353,177.853549730212
121,5.0022,32.442662657646366,44.125615969264175,164.83137058381357
122,5.0012,38.26846424384525,50.95520013398091,177.72324568748954
123,5.0005,34.71255453223461,46.76115982902217,172.26990701978585
124,5.0003,35.92691527814511,47.88746363395927,174.133077669047
125,4.9989,37.973230220107084,50.00273646638906,179.37624429902837
126,5.5468,40.31825317539603,55.78217021074164,174.5517339803054
127,5.5465,38.906547447360836,53.97250264397654,173.41241226805116
128,5.5472,39.57952369260987,54.34706604468451,174.850036827891
129,5.547,39.38355416604635,53.7726663689147,173.48255669693813
130,5.5462,40.78484119345524,55.99109720885467,174.66390760346488
131,5.5456,38.57982365400719,53.338702526969115,172.54169745332743
132,5.5451,39.669680443934176,54.79511098354382,174.03980099502488
133,5.5457,35.731451552281435,49.02142373900624,173.2151770277381
134,5.5451,37.2530828847402,50.74840606268851,176.9588439659451
135,5.5438,35.85726223032513,48.91324825281069,173.42828927377695
136,5.5442,36.560865304891834,49.70174116228235,174.7157232230346
137,5.5417,34.83609756097561,47.53834896810507,171.0666416510319
138,5.5442,35.83714609286523,48.79067572668932,173.5644771611929
139,5.5442,35.81372250054454,48.44064473970813,172.17673709431497
140,5.5442,36.01683252561873,48.873034663904406,172.0685879175761
141,5.5445,35.00638281608317,47.88365693319064,172.3476914844825
142,5.5435,35.45941847681868,48.225596118124265,172.24568785776566
143,5.516,35.289942650398366,47.93699241753589,172.23509487702552
144,5.542,36.21629646333672,49.10587439395648,174.2202427932499
145,4.6638,36.38283711405167,48.751732829237554,174.2809152488973
146,4.6643,32.88538580064004,44.479672869503375,165.78147840859705
147,4.6634,37.451445013328815,51.134346041552064,179.44932932763507
148,4.6628,41.40721649484536,57.608293446244474,183.70480486008836
149,4.6634,45.18154544405554,61.49667294895957,182.02015462133159
150,4.6623,43.55985373364126,59.34872979214781,179.06385681293304
151,4.6623,37.006897142612345,48.03101572205801,164.5699353125134
152,5.4823,40.69765378548896,54.852868690851736,170.92562105678232
153,5.4827,39.954692556634306,53.82124500285551,168.37383399961928
154,5.4814,38.62624623232089,52.13559007651287,166.21432877347553
155,5.4811,36.9492674080084,49.892044098697085,163.78685629742756
156,5.4818,37.071067201221844,50.07851279114166,162.7733867888507
157,5.4823,38.70915669357083,50.40857222376844,166.49608365472545
158,5.4812,39.32005735223833,51.514298231639316,169.74514099091923
159,5.4772,40.63749705026351,52.91398568394557,173.5456619208684
160,5.4766,40.17054861223827,52.11662067846129,172.6490423632527
161,5.4763,40.02557036916968,52.246666936823765,170.72687117558863
162,5.4772,39.40057080837722,51.560959922820274,168.63331591429835
163,5.4964,41.19367588932806,59.72812328013208,178.1816180517336
164,5.4984,41.53110968569596,60.087235407312384,177.95781319386194
165,5.4969,40.46188918624244,59.03340271582912,175.73857666765784
166,5.4988,43.01788177339902,61.95354679802956,180.06719211822661
167,5.498,36.95968475295544,49.10991967262807,169.18520763867838
168,5.4983,36.92305644302449,48.95994979461433,169.00505857294993
169,5.4948,39.42831460674157,58.07585518102372,174.23975031210986
170,5.495,41.57421606212523,60.50368622825125,177.51872603951637
171,5.4946,42.289795310015904,61.16777623211447,179.07472178060414
172,5.4933,42.38549542379626,61.325706327099084,179.01318145642657
173,5.4892,42.59827748354205,61.42548136415384,179.66490125228927
174,5.4924,42.08341498743237,58.089933114642356,183.01269543731095
175,5.4931,40.34485175869037,55.306709001690656,175.04911137685045
176,5.4903,41.26091014297981,54.7587635793482,178.00895956994066
177,5.4883,39.957612391386476,53.1898375519456,177.1156781261806
178,5.4899,38.62185001903312,51.32493338408831,174.49722116482678
179,5.4885,35.46805929408196,47.74064525912727,166.7602456685749
180,5.4883,34.33530372559695,46.60126779186435,168.3411760130668
181,5.4875,36.272008773256694,49.035698078959314,168.5328618968386
182,5.4872,38.15310592728498,51.54876998539709,169.957876212229
183,5.4881,38.86424515625677,53.67465649516709,178.97841445971133
184,5.487,41.417490832314705,62.32148016446272,195.37963477423418
185,5.6244,41.488988038731726,67.10926523637744,196.25056958420353
186,5.6269,42.37365753870473,68.11901994513924,197.57306243897904
187,5.6265,41.30222841225626,66.09994236864854,194.89021227547786
188,5.6259,38.068956779845074,57.51675957431405,189.72786505465865
189,5.6236,38.74902519496101,57.44822285542891,190.34140671865626
190,5.6244,39.347523670793876,58.1650036416606,188.6400946831755
191,5.6233,37.98341945797242,57.19937544146622,187.6299862448418
192,5.6232,37.76741965105602,57.77160697887971,189.24242424242425
193,5.6203,37.86943285601534,56.993911376705384,189.94234599917317
194,5.6215,57.83600346395324,80.1079237930288,223.15530057010898
195,5.6211,36.17438152831226,53.96133406633682,183.2502473886751
196,5.6186,36.61429263385372,53.09683669287231,181.88393755356012
197,5.6191,37.264558441068935,54.452941841619236,185.43650823564886
198,5.6198,38.32424833170878,55.085588963035164,185.53482792232137
199,5.3548,42.5950023573786,57.36088846979936,164.76651474671277
200,5.353,39.757775377969764,53.49114470842333,160.49044276457883
201,5.3539,40.8978860048167,55.03189724377843,163.62772277227722
202,5.3545,42.54622334278811,56.88291837377876,166.93644290366635
203,5.3547,39.24109048228767,53.15530303030303,160.80078958600086
204,5.3531,39.80319259567388,54.06307196339434,159.9183132279534
205,5.3551,40.740521575199,55.77969208211144,162.66788856304984
206,5.3537,35.2178928956868,45.72795951025269,161.5388709017156
207,5.355,39.414633165829144,52.26625125628141,169.28502512562815
208,5.3547,41.24656529793146,54.536430997221366,172.90984871874036
209,5.3528,40.34004395259399,53.2309080919865,172.70492896946865
210,5.3535,38.838679089709764,50.731571569920845,170.06282981530342
211,5.3535,37.90222004570682,50.32782402873,166.90071008814888
212,5.3536,40.416152136329956,53.12443401662962,172.1489668230839
213,5.3527,39.038912709327725,51.99935280317127,171.8805921850983
214,5.3494,38.169492874771116,50.91370113844439,169.52018151421063
215,5.3489,40.113066119614956,53.426305822944606,173.80933406974907
216,5.3487,36.221984152652006,47.81767464424321,163.31363195342823
217,5.3475,41.23129279593259,55.31013981713067,178.1685185944483
218,4.8107,37.90011895845266,55.15491034057364,186.05771687888267
219,4.8118,41.82784796687547,58.2411083979191,174.47467884064125
220,4.8113,43.43708888070305,59.61932326474768,175.81018786507394
221,4.8112,42.93323006249666,59.099513914854974,175.98552427754927
222,4.8108,41.40135522543654,57.89184258535314,173.16273130049518
223,4.8101,39.26807115601655,55.0697049497501,170.63777073144516
224,4.8088,41.40291458642558,61.5283137678226,188.83933792110827
225,4.8103,43.082261173622626,64.68041421975164,193.4529071591877
226,4.8098,42.71725718314825,63.64220870791468,192.4682266878195
227,4.8105,40.885934707754004,59.918711589591595,189.20694765287888
228,4.8095,37.770599331218385,52.52212123810341,178.09037125953873
229,4.8092,37.3506147364801,52.094144957441316,178.03335912647233
230,4.8066,38.90829281469476,54.69755087340177,182.7223572843508
231,4.8093,42.87942887361184,59.696633174687115,188.44028732592983
