ID,AverageMass,AreaInSquaredPixels,Roundness
189,5.6236,27431.5,0.9282
190,5.6244,27673.0,0.9299
191,5.6233,27492.0,0.9268
192,5.6232,27441.5,0.9182
193,5.6203,26659.0,0.8955
194,5.6215,27417.0,0.9194
195,5.6211,27265.0,0.9235
196,5.6186,27417.5,0.9312
197,5.6191,26330.0,0.8943
198,5.6198,25682.5,0.8886
199,5.3548,19009.0,0.9504
200,5.353,19078.0,0.9549
201,5.3539,18554.0,0.9425
202,5.3545,19141.5,0.9442
203,5.3547,18984.5,0.9416
204,5.3531,18937.5,0.9469
205,5.3551,18994.5,0.9405
206,5.3537,26760.0,0.8687
207,5.355,25516.5,0.8842
208,5.3547,25504.5,0.8655
209,5.3528,25977.0,0.8644
210,5.3535,24885.5,0.8418
211,5.3535,24390.0,0.8466
212,5.3536,24318.0,0.851
213,5.3527,24935.0,0.8618
214,5.3494,25806.0,0.8799
215,5.3489,25520.5,0.868
216,5.3487,25072.5,0.871
217,5.3475,25625.5,0.8761
218,4.8107,22832.5,0.8981
219,4.8118,18794.0,0.9572
220,4.8113,19179.0,0.9696
221,4.8112,18714.0,0.9411
222,4.8108,18902.5,0.9552
223,4.8101,18929.5,0.9497
224,4.8088,22967.0,0.8918
225,4.8103,22620.0,0.8888
226,4.8098,22869.0,0.8988
227,4.8105,23312.5,0.9093
228,4.8095,23103.5,0.8502
229,4.8092,23083.0,0.8657
230,4.8066,22743.0,0.8579
231,4.8093,23017.0,0.8642
232,4.8088,22842.0,0.8502
233,4.806,22465.5,0.8428
234,4.808,22441.0,0.8712
235,4.6951,23715.5,0.9155
236,4.6947,24042.5,0.9029
237,4.6949,23306.5,0.8731
238,4.6935,23539.5,0.885
239,4.6948,24254.5,0.8929
240,4.6925,23767.5,0.8929
241,4.6944,23997.5,0.8905
242,4.6945,23456.5,0.8612
243,4.6939,23785.0,0.8858
244,4.6923,23517.0,0.8851
245,5.8265,28915.5,0.856
246,5.825,29376.5,0.8759
247,5.8247,29058.5,0.88
248,5.8267,29166.5,0.88
249,5.8279,28650.0,0.8744
250,5.8272,28361.0,0.8678
251,5.8271,27247.0,0.8793
252,5.8266,20914.5,0.9615
253,5.8266,21182.0,0.9666
254,5.8253,21172.5,0.9584
255,5.5003,27660.5,0.8592
256,5.5004,28140.5,0.8709
257,5.4969,27663.5,0.8699
258,5.4978,26871.5,0.8787
259,5.497,19842.5,0.9296
260,5.4966,19641.5,0.9202
261,5.4954,19066.5,0.9212
262,4.8996,18054.0,0.9497
263,4.8976,17685.0,0.9551
264,4.9005,17925.5,0.9552
265,4.9,17911.0,0.9569
266,4.9013,18006.5,0.958
267,4.8997,24428.0,0.9161
268,4.8998,24288.0,0.9034
269,4.8982,24438.0,0.9099
270,4.8991,24305.5,0.9091
271,4.899,23737.0,0.9168
272,4.8985,22844.0,0.8649
273,4.9007,23507.5,0.8849
274,5.1209,19028.0,0.9495
275,5.1205,18729.0,0.9479
276,5.1196,18698.0,0.9369
277,5.1183,19067.0,0.9503
278,5.1191,19384.0,0.9566
279,5.1174,18635.5,0.9354
280,5.1177,18906.0,0.9415
281,5.1165,25703.5,0.883
282,5.1164,26128.5,0.8954
283,5.1151,26286.5,0.8961
284,5.1148,25804.0,0.8816
285,5.1139,25725.5,0.8869
286,5.1129,25786.0,0.905
287,5.1132,24912.5,0.8992
288,5.1127,25432.5,0.8888
289,5.1136,24930.0,0.9071
290,5.246,18291.0,0.9542
291,5.244,18411.0,0.9517
292,5.2433,18664.5,0.9645
293,5.2432,18932.5,0.9667
294,5.2417,18518.5,0.9532
295,5.2426,18746.5,0.9588
296,5.2428,24944.5,0.9103
297,5.2432,25246.5,0.9022
298,5.2403,24040.0,0.9057
299,5.241,24068.5,0.9175
300,5.2409,23541.5,0.894
301,5.2401,23811.0,0.8522
302,5.2374,25477.5,0.8911
303,5.2401,25600.0,0.9107
304,5.2381,24625.5,0.8939
