ID,AverageMass,AreaInSquaredPixels,Roundness
436,26.512,33816.0,0.8466
437,26.5112,33931.5,0.7721
438,26.5107,32572.5,0.7406
439,26.5104,34620.5,0.6963
440,26.5084,33796.5,0.711
441,26.5079,35524.5,0.7077
442,26.5064,34272.5,0.7196
443,26.5054,35018.0,0.7591
444,26.5046,34577.5,0.6411
445,26.5043,35134.5,0.6529
446,26.5034,34327.0,0.7279
447,26.5019,34602.0,0.6666
448,26.5028,30318.5,0.7764
449,26.5016,31316.5,0.7421
450,26.5008,30838.0,0.7757
451,26.5006,29715.5,0.8026
452,26.4995,30642.0,0.6777
453,26.4983,30972.0,0.6964
454,26.4976,31752.0,0.6602
455,26.4977,32049.5,0.738
456,26.4959,33051.0,0.8074
457,26.4958,33244.5,0.7057
458,26.4942,30219.5,0.8299
459,26.4958,31401.0,0.8014
460,26.4943,32409.0,0.7906
461,26.4839,33055.5,0.7213
462,26.4823,35043.0,0.6453
463,26.4815,34732.0,0.6887
464,26.4817,35064.0,0.6952
465,26.4815,34243.5,0.6605
466,41.2194,50854.5,0.8694
467,41.2196,51610.5,0.8235
468,41.2196,52218.5,0.849
469,41.2189,52586.5,0.8635
470,41.2181,52616.5,0.8625
471,41.2169,52842.0,0.8601
472,41.2158,50152.5,0.821
473,41.2154,52174.5,0.8114
474,41.2141,51158.0,0.8553
475,41.2125,49331.0,0.9267
476,41.2115,51408.5,0.9186
477,41.2107,49674.5,0.9018
478,41.2096,51441.5,0.8778
479,41.2078,52434.0,0.8662
480,41.2063,52020.0,0.871
481,41.2063,52021.5,0.8006
482,41.2058,48607.0,0.8016
483,41.2035,52203.5,0.7977
484,41.2033,53137.0,0.8613
485,41.2029,51441.5,0.8109
486,41.2012,52830.0,0.7992
487,41.1999,51974.0,0.8485
488,41.2008,50899.5,0.8225
489,41.1998,49547.5,0.7988
490,41.1986,50686.5,0.8873
491,41.1958,50679.5,0.849
492,48.7211,63147.0,0.7204
493,48.7186,60561.0,0.7275
494,51.4455,63548.5,0.7521
495,48.7182,61739.0,0.7509
496,48.7165,58696.0,0.7518
497,48.7151,59067.0,0.7427
498,48.7155,60421.0,0.7611
499,48.7115,53394.5,0.7026
500,48.7116,56767.0,0.7458
501,48.7112,58791.0,0.7159
502,48.7102,62739.5,0.7413
503,48.7088,60140.0,0.7325
504,48.7076,67056.5,0.7239
505,48.7059,62460.5,0.7418
506,48.7061,61444.0,0.7421
507,48.7035,59336.5,0.7471
508,48.7018,60094.0,0.7313
509,48.7011,62530.0,0.7329
510,48.6997,59441.0,0.7519
511,48.698,62123.5,0.7569
