ID,AverageMass,meanB,meanG,meanR
21,10.2444,198.893785686568,199.6781418038694,182.3057819169577
22,10.2427,54.97014760351595,54.61269279672729,44.81690530156448
23,10.2425,45.10071942446043,45.59911455451024,35.62711676812396
24,10.1629,47.22462941847206,45.96442417331813,35.89515393386545
25,10.1636,59.88144063415475,58.114251249353785,44.982997300247
26,9.7124,52.739445600375866,51.87240754413048,39.673669373783476
27,9.7125,58.73904634878293,56.99833277759253,44.5675891963988
28,9.8781,55.64959516771623,54.1580131088549,41.38876751060275
29,9.8802,41.916863362182006,42.93987673747705,33.88781799108314
30,9.9806,54.621842089243316,52.371157241127406,40.82480063310403
32,9.1594,46.44563201130642,45.83932514795513,36.36207048847275
33,9.1617,52.367644521138914,51.50914581535807,40.445125107851595
34,10.8762,50.595367582791106,50.67582791104205,40.26575701660678
35,10.8735,51.6879812847256,51.8863436982162,41.25665269519446
36,10.8766,41.75986227250369,42.56645351696999,34.19252336448598
37,9.9834,49.89740609323382,50.14976140951915,40.15447204208981
38,9.9846,40.88026067360984,41.86338997502893,34.90236920640721
39,9.9304,47.315622669649514,47.20140442455878,36.57283122048222
40,9.9257,43.480260220677344,44.052044135467824,34.985713374577465
41,9.6898,40.91613722998729,41.66341202434294,34.41275998127466
42,9.6972,48.89839142091153,49.04209115281502,39.28686327077748
43,9.7016,41.86752364459838,42.865059278007195,35.140202477687495
44,11.9737,44.67421469960354,45.20089966453187,36.6469197926197
45,11.9794,41.59634671852954,42.94756511459406,35.09270487739771
46,8.7405,51.159634623749454,51.6705089169204,40.79066985645933
47,8.7423,46.39656452125968,46.89704167108472,36.49740218428587
48,9.1772,49.610351646462036,48.54028028544407,37.60613876708795
49,9.1813,46.76381642939252,46.407551507648776,36.01193739499514
50,9.4972,52.575531303848365,51.90960654796094,40.64747271682941
51,9.495,43.42249982051834,43.331610309426374,34.35142508435638
52,11.0753,46.408243826310475,45.948590838152946,35.76989809969706
53,11.0766,55.66863663226804,55.01154702914034,43.604173296358596
54,10.27,55.151515151515156,53.75477510782502,41.88326891838907
55,10.2695,47.929819663893696,46.92557646139244,36.43219250739769
56,11.5706,51.63354422528223,51.06624488276889,39.861224827358065
57,11.5745,41.336969596416274,41.90306524534407,34.098096146667224
59,8.7329,53.54022598870056,54.088135593220336,43.50519774011299
60,8.7356,46.43465439962255,46.14295824486907,35.52642132578438
61,10.2567,47.12581755593804,46.773092369477915,35.718932874354564
62,10.2568,55.14682291370385,53.85175493486547,41.68399795210194
63,10.213,49.519563496550944,50.19495646273889,39.99858645256135
64,10.2143,39.08932904463631,40.268777157045314,32.52717115286948
65,12.3145,56.281596043112366,54.311715635611996,41.528421674295
67,8.9281,55.998050112118555,55.13385980306132,43.424295603002825
68,8.9272,57.12242889479382,56.39937014073418,44.178230489125085
70,9.6905,49.00987390753219,49.074988324771496,39.34265127760357
71,9.6184,50.697905181918415,50.22636438809261,39.72850055126791
72,9.6184,46.11512910074652,46.31182795698924,36.31538935689336
73,10.6453,44.98391224862889,45.901227474536434,37.311778532253854
74,10.6412,37.83327322376217,39.03302591581225,32.41671389561544
75,8.8254,44.33209322683007,44.72174198489988,34.88773388773389
76,8.8253,41.53422332843081,41.82249123203982,33.00090507976015
77,9.9625,37.40823379615595,38.64166616140181,31.535621172618686
78,9.962,38.73600289907592,39.540677658996195,32.29860481971372
79,9.4596,47.60137890132701,47.185706872266294,37.409222329305365
80,9.4601,49.20975529912431,48.84589573614862,37.41271789835502
81,9.4612,44.892689417658104,44.60057921102066,35.196775203506576
82,10.532,56.346395065567826,55.6243715337169,44.31726532939408
83,10.5355,32.62117020721332,33.05725768568297,26.28696696069732
84,9.6529,52.761975142761166,51.52824991602284,40.559892509237486
85,9.6556,46.16015352407537,45.784019539427774,36.07787857641312
86,9.8557,52.11133494493688,51.27289820037604,39.02108514638732
87,9.8554,52.4368254378595,52.19485555483746,40.558973696115814
88,9.2088,39.6769632185843,40.507364699941085,32.187610470499116
90,10.187,43.082931034482755,43.175804597701145,34.23373563218391
91,10.1867,40.59802401056925,40.937446148543856,32.57763225917629
92,10.0272,36.25240608506675,37.87202732070786,31.549332505433096
93,10.0269,37.56877765304101,39.06947104272601,32.21316780030377
94,9.3013,51.20792512246326,49.92704688593422,38.29741077676697
95,9.3014,53.03557668661366,51.68202311664891,39.57693253545373
96,11.002,49.960903806487906,50.49474967185449,39.918479279954994
97,9.5888,48.383032339353214,48.03352932941341,37.367282654346916
98,9.5873,45.067213699607564,44.26214769889404,34.30381733856582
99,9.7797,44.330886504799544,44.61017786561265,34.768986448334275
100,9.7792,44.71947965310206,45.01561040693796,35.84229486324216
101,9.6791,44.68649885583524,44.99034610983982,35.26802059496568
