ID,AverageMass,meanB,meanG,meanR
1,4.8566,31.506040695209833,45.94054684188215,158.32058075455703
2,4.8568,28.547138740222312,41.589079868258544,151.6199567723343
3,4.8654,30.020564197205378,43.74136567360928,155.65351964144477
4,4.8691,32.64747715946844,47.135226328903656,158.95925041528238
5,4.8689,29.708116196274702,44.37464527114184,154.8083174242815
6,4.8591,32.43518090515611,42.812077152582255,150.57965289742404
7,4.8404,31.801596773529777,43.231737931602126,152.0073665582946
8,4.8484,33.77668608011381,49.18930333881652,163.989374472058
9,4.8533,31.929624326145554,47.7063679245283,168.5340296495957
10,4.8607,32.58640476715957,43.827631869344515,152.0306775546237
11,5.3319,36.75187265917603,49.63984082397004,144.33225655430712
12,5.3296,35.7646801690223,48.793579095633596,145.20778085385402
13,5.3455,35.07884615384615,47.05495192307692,141.12745192307693
14,5.3238,36.12998242196779,48.64250083139341,143.5328044087605
15,5.3381,34.079837998235625,46.87657390328013,158.2817788114524
16,5.3361,32.9739204129589,44.68758426749874,158.1392965830733
17,5.3594,35.234253774922834,44.168474180362054,145.95524318011178
18,5.3643,32.6114475953632,42.01977457783482,143.43295495567767
19,7.0003,33.3911137340865,48.05884832644802,157.77033976899082
20,6.9895,34.372657616390434,49.617223286416255,160.59094694761387
21,6.9924,32.94213606741106,47.76103109044872,157.22838404383378
22,6.9847,34.39915685783455,49.964521245512984,160.61465898655982
23,6.983,33.69759336099585,48.84253112033195,158.09539419087136
24,6.9821,33.33021550906908,45.834291853630795,163.69060860772294
25,6.9839,32.49477928253903,44.88672938419656,159.12233364347497
26,6.9841,32.31622531903717,43.68797701078392,157.2784661496153
27,6.9815,33.47284827278653,45.3957668690611,159.14026963054442
28,5.8793,28.47688287004039,37.67854597291518,138.45369446424328
29,5.8731,29.610600981392412,38.8122236797357,140.17295826653063
30,5.8879,28.71886300178514,37.615278985673086,138.28585160433926
31,5.8797,30.463683904706567,38.74941894247531,140.48605461940733
32,5.8775,28.6874406232187,37.554959148774465,136.3014440433213
33,5.5909,34.572706161371606,46.92104352981867,149.55511635950393
34,5.5964,34.35037897430849,47.41534599862191,150.29825770252978
35,5.5926,37.95885039213739,51.60066514444554,158.44192395512755
36,5.5867,34.86725486264287,47.63535191497894,150.8244435532384
37,5.5852,33.397260273972606,45.3807516684229,147.56631040192684
38,5.5874,34.07508925486583,46.774194786748055,161.13628162309496
39,5.587,32.38195420195192,41.8435043481563,152.81479512398892
40,5.5944,33.04102725945796,43.98410193696004,157.3554775336305
41,5.5903,33.27786982248521,47.85368836291913,166.0639842209073
42,5.5967,33.39007862223886,46.472744290527885,164.18375140396853
43,5.4506,32.25880425880426,42.076167076167074,150.25939575939574
44,5.4509,34.16218762618332,44.6710036340796,152.52528152900535
45,5.4409,34.014031149151116,43.37308825592816,143.65534820635142
46,5.4456,30.283489799602815,39.121186134681345,137.0214388878859
47,5.4494,33.40133968583424,43.926553139299024,145.6837586678617
48,5.4475,30.55223761427602,39.62828855443331,148.28643858038245
49,5.4349,33.40674335581119,43.65791352637842,153.06755255850854
50,5.4505,30.4784964833391,38.93447096352666,135.8475344940236
51,5.4493,29.69068240960112,36.905192838000545,139.35926515710568
52,4.9155,33.35352719439957,49.439203015616584,171.26160473882607
53,4.9142,36.15499838934822,52.6784602169011,174.8042521206915
54,4.9142,36.384291645339246,52.85520104646533,179.19791844395155
55,4.9138,32.94290456431535,48.4637897648686,171.21836791147993
56,4.9138,33.162857748569,46.23196947212211,171.89921560313758
57,4.9129,36.062699300120094,50.018014660206234,178.06240940903632
58,4.9141,34.038808276809476,48.582424658710394,176.75852150768438
59,4.9128,33.621246916730456,47.09075444416092,174.70834396529727
60,4.9944,37.07495787356634,51.33989237375659,156.7773550035332
61,4.9945,34.448362588420224,47.69740634005764,148.12570081215614
62,4.9941,33.33798514929696,46.01959028911475,147.17704987097792
63,4.9948,34.497351949927776,47.63098486064302,152.67035788797946
64,4.995,30.79659011220196,39.397966339410935,143.54413569424963
65,4.9944,32.165307934457985,46.71490838647187,167.8916781015417
66,4.9932,30.19856662752561,45.819249301534605,164.8664210227963
67,4.9941,30.869967491872966,41.98320413436692,148.35683920980244
68,5.44,31.059891013777502,45.575416409623685,157.91990540818423
69,5.4393,30.666115275264925,45.76200568622383,160.60920134401655
70,5.4393,29.20847371107708,43.46824910668708,155.77304747320062
71,5.4394,30.127126413364568,45.02378527044922,159.0529693389019
72,5.4397,32.23429777594728,47.50947281713344,164.12798599670512
73,5.4401,28.94426397050772,40.06435011132606,157.00273752600648
74,5.4396,30.443073601418824,41.31969772911285,153.01357134595366
75,5.4391,30.030417831396203,42.87420920994556,168.00923201412388
76,5.4397,30.364475641857098,43.98702933658872,168.69202304200206
77,3.9197,35.720636732623035,49.79496448503298,169.31506849315068
78,3.919,37.368993205682514,51.954848672019764,172.3247066090179
79,3.9184,34.693518518518516,48.87166666666667,168.72728395061728
80,3.9171,33.582374078811135,46.88367135635544,162.54960716243377
81,3.9169,34.608633183408294,48.28235882058971,166.7979135432284
82,3.9181,35.083123588254274,49.28422071636012,169.57521781219748
83,3.918,36.10835144365104,50.32461968332816,169.7073579633654
