ID,AverageMass,AreaInSquaredPixels,Roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,meanB,meanG,meanR
1,4.8566,18648.0,0.936,2.669285528722718,7.076109989909238,9.71716114970505,9.71716114970505,21.411332488484174,14.799128479164608,21.55822798413377,31.506040695209833,45.94054684188215,158.32058075455703
2,4.8568,19201.0,0.9502,2.6438841037610024,7.010149221253128,10.105434853846061,10.105434853846061,-20.84440707844017,14.365068505275728,-21.191014364885056,28.547138740222312,41.589079868258544,151.6199567723343
3,4.8654,18730.5,0.9381,2.658039168683108,6.907440285343591,10.047053648099524,10.047053648099524,-20.934400805576843,-15.17571549861732,-20.972113288506076,30.020564197205378,43.74136567360928,155.65351964144477
4,4.8691,19039.5,0.9452,2.6725678083052933,6.946262362453459,10.849418920861874,10.849418920861874,-21.265641588993645,13.974628540120692,21.38921972060635,32.64747715946844,47.135226328903656,158.95925041528238
5,4.8689,19147.5,0.9555,2.6566520220801153,7.064511614383764,10.05585048780206,10.05585048780206,-22.627332019677585,-14.79778433898645,-21.867742513459703,29.708116196274702,44.37464527114184,154.8083174242815
6,4.8591,23531.0,0.8628,2.6251406517258875,6.870161064507619,8.751024432789118,8.751024432789118,19.38884472497023,13.40319473501289,-19.45725334143477,32.43518090515611,42.812077152582255,150.57965289742404
7,4.8404,24041.0,0.9088,2.6310175766575044,7.133521371787279,9.007865672394802,9.007865672394802,-20.25151324741603,14.351336137760484,-20.041531408888297,31.801596773529777,43.231737931602126,152.0073665582946
8,4.8484,22224.5,0.889,2.6716235611544517,6.661360786549152,9.059671137021107,9.059671137021107,19.776448153163358,13.676180260912737,-20.160282515650465,33.77668608011381,49.18930333881652,163.989374472058
9,4.8533,23483.0,0.8918,2.6814139457659505,7.078256479972855,8.944879959011683,8.944879959011683,20.18480122822016,13.882467887867069,-19.942215498573027,31.929624326145554,47.7063679245283,168.5340296495957
10,4.8607,22394.5,0.9013,2.629743951492947,6.665138808879327,8.95124255058418,8.95124255058418,19.102844222861957,13.070874518861986,-19.438042494007426,32.58640476715957,43.827631869344515,152.0306775546237
