ID,AverageMass,hu0,hu1,hu2,hu3,hu4,hu5,hu6
1,45.9258,2.5071015192035877,5.6540109423516585,9.286607249051041,9.286607249051041,19.866418936583255,13.606394313709675,19.312481281389726
2,45.9232,2.4632872282210045,5.527105316195481,9.441343220047873,9.441343220047873,18.691002135465077,12.238726646299883,19.43334471410093
3,45.9206,2.4773497811397562,5.566078793820276,9.492894180260517,9.492894180260517,19.081489474463506,12.632162218890638,19.937082324602066
4,45.9226,2.4688990797842347,5.52775804317529,9.6298272040312,9.6298272040312,18.157675487814537,11.657152627829822,18.720131857356343
5,45.9219,2.500460833191319,5.637301281290537,9.445822766304302,9.445822766304302,20.415947020986273,-13.466743542521323,-20.282668813429673
6,45.9202,2.4849782813353727,5.5579630127336,10.128812339837216,10.128812339837216,-20.242954827211218,13.504458656071016,-20.07077026509847
7,45.9198,2.4925369776264716,5.6105504882990775,10.470043751608221,10.470043751608221,-20.252393093114254,12.941144657596507,-19.822684491021224
8,45.9147,2.478761255507763,5.57889510019659,9.726912221905991,9.726912221905991,-19.86171798877005,-13.107829153327046,-20.372037741361687
9,45.9139,2.505141706117572,5.694275091359604,9.22160766176925,9.22160766176925,18.709467651299104,12.246654338125099,-19.117057824688654
10,45.914,2.4934027203095384,5.6630388047537386,9.397948001360556,9.397948001360556,18.976220193474166,12.380934401882435,19.69335422789372
11,45.9132,2.475109008770725,5.465011445551698,8.91343383867759,8.91343383867759,18.56097393184133,12.229210696689814,-18.98753611541539
12,45.9132,2.475431278601557,5.462679344996435,8.643813156006965,8.643813156006965,17.682687340139207,11.68587571218817,-18.44023730186508
13,45.9117,2.493035559385232,5.5272457381701185,8.570609182162974,8.570609182162974,17.21571408208724,11.397788000662192,18.416226477207054
14,45.9112,2.4729036565999953,5.454003854262286,8.479480362282803,8.479480362282803,17.16560176258802,11.362712598438545,19.007590718773002
15,45.9095,2.4839404092660735,5.510359705937415,8.867581795694559,8.867581795694559,17.75629723091724,11.607966945748647,18.02562539884882
16,45.9086,2.5056441337593975,5.5529339152623685,9.67418016768145,9.67418016768145,-23.818550569776882,-14.380950124487523,21.309614202698537
17,45.8982,2.4867383860536183,5.540377557908182,9.500442837370468,9.500442837370468,21.429685764649957,14.911950868789571,-22.37236697292458
18,45.8975,2.364711467502035,5.2481708582842135,8.40292507321849,8.40292507321849,17.42374487195465,11.509082475074596,17.739054638090828
19,45.8956,2.4713598642597625,5.607593229945901,9.228360398243533,9.228360398243533,-20.929316562990067,13.814424547056099,-20.029565781384324
20,45.8949,2.4656785865348523,5.535640131998214,9.843848635327006,9.843848635327006,20.28866152345734,13.836998879423504,-21.525087152027208
21,19.9164,2.479180150276539,5.798710368504589,8.59391197789305,8.59391197789305,18.672985942237354,12.417659208436428,18.754679319362108
22,19.9171,2.4829221869984566,5.71347471936871,8.666026255579144,8.666026255579144,18.55432524400151,12.298329499231016,18.79560208499456
23,19.9151,2.4650969678039725,6.094640270620501,8.580835856014719,8.580835856014719,19.07884760863441,13.027025951814997,19.790354206525695
24,19.9152,2.516829832829208,6.16968800649863,8.494411866226834,8.494411866226834,-18.96890647082615,-13.046156048146557,-18.368219091556174
25,19.9132,2.487151826560541,6.160091970818739,8.50355449752292,8.50355449752292,17.657332066345962,12.254276012054394,-18.29292572574864
26,19.9145,2.4607588911732,5.703848415040195,9.2515863855558,9.2515863855558,19.69289972135165,-12.754710983058828,18.804056331456778
27,19.9125,2.4939968937035517,5.752650947940653,9.06801608874078,9.06801608874078,-19.802115335333134,-12.727533647254768,-18.65843423884091
28,19.9135,2.526220812472975,6.074625127789536,9.05285206330361,9.05285206330361,18.351232091830664,12.46754115227818,-19.500965138338106
29,19.9122,2.4800985649457457,5.854856957550277,9.420730930996829,9.420730930996829,19.444143993158065,12.701128185093701,19.490678356508578
30,19.9123,2.472416671457966,5.96398986068006,8.713266883693468,8.713266883693468,18.73348737786432,12.447348901421627,18.651189887162925
31,19.9108,2.459023303146892,6.067080055747128,8.741356664217514,8.741356664217514,18.79899512323436,12.286394909798867,18.267879335738375
32,21.8082,2.412868374549096,5.261107496619739,8.770807400858175,8.770807400858175,17.723022004371202,11.500167684435802,18.108168074720165
33,21.8091,2.4177189856220447,5.300125848213059,9.096011425934302,9.096011425934302,18.99215526223192,12.190281210681759,19.026082471901205
34,21.81,2.3998546010596193,5.333670999214463,9.16926230657021,9.16926230657021,21.358723342545783,-13.718786291974506,20.827471910844693
35,21.809,2.402094191225162,5.428258692347683,8.793731737087562,8.793731737087562,-20.679335767402517,13.857537556916748,-18.768755917627594
