ID,AverageMass,hu0,hu1,hu2,hu3,hu4,hu5,hu6
21,10.2444,3.077488613470237,8.760132343778153,12.724452573674652,12.724452573674652,25.631926287942846,-18.188262613030282,25.685589323808017
22,10.2427,2.4881225981742023,7.6038457895431995,9.78221096387352,9.78221096387352,20.117997541067748,14.14281942785442,20.209780802998065
23,10.2425,2.382972168544289,6.65531998506375,9.058785118179971,9.058785118179971,19.53923645601488,13.317574898533147,-19.628473025295357
24,10.1629,2.394729532670052,7.346376842243858,9.15539251924798,9.15539251924798,20.369482617026677,14.909696979298129,20.23548535959866
25,10.1636,2.502677194698828,7.300525174037349,9.559727835246688,9.559727835246688,-22.11667540196035,-15.06728859173386,-21.878623177708434
26,9.7124,2.4226441827103615,6.522772459787489,9.396099503311374,9.396099503311374,19.94891169849016,-13.428125541892536,-21.17083653285812
27,9.7125,2.481561886158909,6.971266421367394,9.511385463134793,9.511385463134793,-20.43625287486739,13.99451966030105,20.362670805709282
28,9.8781,2.46378133733681,7.363340628027572,9.61762465794047,9.61762465794047,23.084408657730336,15.351169761441483,-22.188873194626712
29,9.8802,2.343850480658557,6.781234716061408,9.012719589079776,9.012719589079776,20.36266123166332,-14.049743959019265,-20.294059734349005
30,9.9806,2.435360338791736,6.94777381812769,9.41201822343842,9.41201822343842,-20.504097131312307,13.838242044409107,20.318720417279515
32,9.1594,2.3678400635028733,5.996569056749458,9.029999494230719,9.029999494230719,18.744936164399746,12.812385205945933,-19.206316252249067
33,9.1617,2.4460988934185437,6.467232921068783,10.404319614403917,10.404319614403917,-20.41880078876255,13.964745884103996,-20.530624405272125
34,10.8762,2.459445105515374,6.730499310639826,9.34111039963124,9.34111039963124,20.025939525349237,13.921491364141417,21.60671220052704
35,10.8735,2.4696322067920624,6.6803327146796,9.159954360546715,9.159954360546715,19.553686598739123,13.452709334650923,20.454665105820784
36,10.8766,2.3327287610191987,6.36965881131423,9.451850916931331,9.451850916931331,19.092412879458536,-12.777696777799205,20.056870437027854
